name,count
application/x-dosexec,86
application/x-sas-data,86
application/unknown,81
text/css,79
application/dat,78
application/vnd.ms-pki.seccat,77
video/avi,77
text/x-sh,73
application/vnd.ecowin.chart,68
image/nii,66
application/download,63
application/text,60
message/rfc822,60
text/x-objcsrc,59
application/vnd.ms-xpsdocument,58
audio/vnd.wave,58
application/x-tcl,57
application/pjnz,56
application/vnd.api+json,56
application/x-sas,56
image/x-adobe-dng,56
text/x-pascal,56
application/x-mscardfile,53
application/x-sas-catalog,50
application/javascript,49
application/x-iwork-keynote-sffkey,49
application/blender,48
application/x-info,47
multipart/x-zip,47
video/ogg,47
application/CDFV2,46
application/opensearchdescription+xml,46
application/Data Viewer,44
application/x-shellscript,44
application/vnd.realvnc.bed,43
application/shapefile,41
text/html; charset=iso-8859-1,41
application/vnd.isac.fcs,40
application/x-bzip,40
application/x-dbf,38
application/x-json-hypothesis,38
application/x-perl,38
image/raw,38
application/x-Research-Info-Systems,36
application/x-emf,36
application/x-matlab-data,35
application/x-yaml,35
application/n-triples,34
application/x-bibtex-text-file,34
text/x-comma-separated-values,34
chemical/x-pdb,33
text/x-asm,33
text/x-chdr,33
application/java-archive,32
application/x-msexcel,32
text/x-log,32
application/xml-dtd,31
video/x-ms-wmv,31
application/x-font-ttf,30
application/x-matroska,30
application/csv; charset=utf-8,29
application/icms,29
text/x-r-markdown,29
application/x-zip,28
application/x-zipped-shp,28
audio/x-aiff,28
application/vnd.openxmlformats-officedocument.presentationml.pre,27
text/vcard,27
binary/octet-stream,26
image/vnd.adobe.photoshop,26
model/vrml,26
text/x-rsrc,26
text/x-tex,26
video/x-m4v,26
application/x-download,25
application/vnd.openxmlformats-officedocument.wordprocessingml.d,24
application/vnd.tcpdump.pcap,24
application/x-fasta,24
application/x-troff,24
text/x-java-source,24
application/nappdf,23
application/vnd.koan,23
application/x-123,23
application/x-spss-sps,23
application/x-wais-source,23
text/x-spss-syntax; charset=UTF-8,22
text/xml-graphml,22
application/x-r-data,21
audio/mid,21
image/jpg,21
image/webp,21
text/troff,21
text/x-web-markdown,21
application/x-matlab-workspace,20
text/x-vcard,20
application/x-dtbresource+xml,19
application/x-graphpad-prism-pzfx,19
video/vnd.dlna.mpeg-tts,19
application/dwg,18
application/vnd.oasis.opendocument.presentation,18
application/x-director,18
application/x-pdf,18
image/x-png,18
video/x-matroska,18
application/softgrid-do,17
application/sql,17
application/vnd.ms-htmlhelp,17
application/vnd.pg.format,17
application/vnd.shp,17
application/x-ms-shortcut,17
text/x-uri,17
application/vnd.google-earth,16
application/vnd.wolfram.nb,16
application/wms,16
application/x-docker-file,16
image/vnd.microsoft.icon,16
application/force-download,15
application/json; charset=utf-8,15
application/x-itunes-itlp,15
audio/mp3,15
audio/x-m4a,15
application/vnd.lotus-approach,14
application/x-archive,14
application/x-esri-shape,14
application/xslt+xml,14
text/csv; charset=utf-8,14
text/x-makefile,14
text/x-markdown,14
application/java-vm,13
application/vnd.ms-word.document.macroenabled.12,13
application/x-font-bdf,13
application/x-stuffit,13
audio/mp4,13
image/vnd.fst,13
application/vnd.Kinar,12
application/vnd.google-apps.document,12
application/vnd.ms-pkistl,12
application/vnd.snapgene.dna,12
application/x-bibtex,12
application/x-msi,12
application/x-pkcs7-certificates,12
application/x-sas-log,12
application/x-thermo-isodat,12
application/xlsx,12
audio/x-ms-wma,12
image/x-lwo,12
"text/html; charset=""utf-8""",12
application/vnd.google-earth.kmz+xml,11
application/x-ole-storage,11
image/x-icon,11
text/x-c++src,11
application/vnd.dynageo,10
application/vnd.enliven,10
application/vnd.ms-office,10
application/vnd.ms-powerpoint.presentation.macroEnabled.12,10
application/vnd.sun.xml.calc.template,10
text/directory,10
text/html; subtype=emikat,10
text/x-bibtex,10
text/x-qml,10
application/pgp-keys,9
application/vnd.afpc.modca-overlay,9
application/vnd.openxmlformats-officedocument.spreadsheetml.shee,9
application/vnd.publishare-delta-tree,9
application/x-iwork-keynote-sffnumbers,9
application/x-tika-ooxml,9
text/x-perl,9
text/x-perl-script,9
application/kmz,8
application/x-apple-diskimage,8
application/x-dbase,8
application/x-wine-extension-do,8
image/x-emf,8
model/vnd.vtu,8
zip/shp,8
api/json,7
application/macbinary,7
application/pkix-attr-cert,7
application/vnd.americandynamics.acc,7
application/vnd.android.package-archive,7
application/vnd.llamagraphics.life-balance.exchange+xml,7
application/vnd.openxmlformats-officedocument.presentationml.slideshow,7
application/vnd.wolfram.mathematica,7
application/x-font-woff,7
application/x-turtle,7
application/xls; charset=utf-8,7
model/mesh,7
application/cu-seeme,6
application/haansoftdocx,6
application/json+gzip,6
application/mx20,6
application/ppt,6
application/tsv,6
application/vnd,6
application/vnd.groove-tool-template,6
application/vnd.hdt,6
application/vnd.ms-fontobject,6
application/vnd.ms-ims,6
application/x-gtar,6
application/x-iwork-numbers-sffnumbers,6
application/x-jmp-data,6
application/x-sas-transport,6
application/xml;charset=UTF-8,6
chemical/x-mopac-input,6
document/unknown,6
image/emf,6
text/x-stata-syntax; charset=UTF-8,6
application/Groundwater Level Data Viewer,5
application/WFS,5
application/hyperstudio,5
application/jsv,5
application/mx22,5
application/sla,5
application/vnd.dna,5
application/vnd.oasis.opendocument.chart,5
application/vnd.snesdev-page-table,5
application/vnd.sqlite3,5
application/x-javascript,5
application/x-matlab-figure,5
application/x-mspublisher,5
application/x-r-project,5
application/xqgis,5
audio/x-ms-wmv,5
image/heic,5
text/zip,5
application/aspx,4
application/png,4
application/rest,4
application/shapefiles,4
application/vnd.pmi.widget,4
application/vnd.shx,4
application/x-csh,4
application/x-endnote-library,4
application/x-font-ghostscript,4
application/x-font-otf,4
application/x-font-type1,4
application/x-photoshop,4
application/x-pkcs7-crl,4
application/x-stata-do,4
audio/vnd.dts,4
chemical/x-cerius,4
chemical/x-gamess-input,4
chemical/x-molfile,4
image/x-sony-arw,4
model/example,4
test/csv,4
text/asp,4
text/html;charset=ISO-8859-1,4
text/rdf,4
video/x-flv,4
appication/xml,3
application/WMTS,3
application/ascii,3
application/gpkg,3
application/htmlf,3
application/ibooks,3
application/java-serialized-object,3
application/nvivo-project,3
application/vnd.chemdraw+xml,3
application/vnd.eszigno3+xml,3
application/vnd.fdsn.mseed,3
application/vnd.lotus-notes,3
application/vnd.ms-excel.template.macroenabled.12,3
application/vnd.ms-officetheme,3
application/vnd.oasis.opendocument.spreadsheet-template,3
application/vnd.openxmlformats,3
application/vnd.openxmlformats-officedocument.wordprocessingml.t,3
application/vnd.openxmlformats-officedocument.wordprocessingml.template,3
application/vnd.rim.cod,3
application/vnd.trueapp,3
application/vnd.visio,3
application/vnd.wm.igor.pxp,3
application/vnd.wolfram.cdf,3
application/vndams-excel,3
application/x-aportisdoc,3
application/x-cfs-compressed,3
application/x-executable,3
application/x-gzip-compressed,3
application/x-ms-wmz,3
application/x-rtf,3
application/x-shar,3
application/x-sharedlib,3
application/x-trash,3
application/xml+gml,3
apploication/vnd.ms-excel,3
biosequence/fasta,3
image/cgm,3
image/dicom-rle,3
image/rwl,3
image/x-panasonic-rw,3
image/x-portable-graymap,3
image/x-raw-panasonic,3
text/SGML,3
text/gff3,3
text/vnd.dvb.subtitle,3
text/vnd.fmi.flexstor,3
text/vnd.graphviz,3
text/vtt,3
text/x-expect,3
text/x-patch,3
text/x-rst,3
text/x-sfv,3
text/x-sql,3
application/>octet-stream,2
application/applixware,2
application/asx,2
application/dsb,2
application/example,2
application/haansofthwp,2
application/illustrator,2
application/jpeg,2
application/json;charset=UTF-8,2
application/mspowerpoint,2
application/msword-template,2
application/nc,2
application/oebps-package+xml,2
application/p21,2
application/smil+xml,2
application/twbx,2
application/vnd.epson.msf,2
application/vnd.google-apps.map,2
application/vnd.hp-hps,2
application/vnd.inquisit.data,2
application/vnd.mcd,2
application/vnd.ms-outlook,2
application/vnd.ms-word.document.12,2
application/vnd.multiad.creator.cif,2
application/vnd.novadigm.ext,2
application/vnd.oasis.opendocument.database,2
application/vnd.rn-realmedia,2
application/vnd.sun.xml.math,2
application/vnd.wolfram.player,2
application/x-abiword,2
application/x-applix-spreadsheet,2
application/x-desktop,2
application/x-dvi,2
application/x-esri-crs,2
application/x-font-linux-psf,2
application/x-font-pcf,2
application/x-font-snf,2
application/x-graphpad-prism-pzf,2
application/x-httpd-php,2
application/x-latex,2
application/x-mobipocket-ebook,2
application/x-ms-application,2
application/x-ms-dos-executable,2
application/x-octet-stream,2
application/x-python,2
application/x-webarchive,2
application/xcap-diff+xml,2
application/xqis,2
application/zip; charset=utf-8,2
appplication/pdf,2
audio/audible,2
audio/mod,2
audio/vnd.dlna.adts,2
audio/x-flac,2
audio/x-mpegurl,2
audio/x-stm,2
dwg/dxf,2
image/example,2
image/jpx,2
image/svg,2
image/tif,2
image/tiff; application=geotiff,2
image/vnd.radiance,2
image/x-cmx,2
image/x-eps,2
image/x-hdr,2
image/x-tga,2
image/x-wmf,2
image/x-xcf,2
model/iges,2
model/stl,2
model/vnd.mts,2
multipart/mixed,2
tesxt/json,2
text/csv;charset=UTF-8,2
text/example,2
text/gml+xml,2
text/htm,2
text/html; charset=utf-8; charset=utf-8,2
text/nlogo,2
text/x-ms-regedit,2
text/x-readme,2
text/xls,2
text/xlsx,2
unknown/unknown,2
video/3gpp,2
video/example,2
video/vnd.dece-mp4,2
aplication/vnd.ogc.wms_xml,1
application/DCD,1
application/Data Download,1
application/KaluzaAnalysis,1
application/a-qgis,1
application/attachment,1
application/biosequence.fasta,1
application/cnt,1
application/fdt+xml,1
application/fits-gzipped,1
application/font-woff,1
application/gxf,1
application/haansoftpptx,1
application/haansoftxls,1
application/irp,1
application/mbox,1
application/mex,1
application/mipc,1
application/morphographx.mgxm,1
application/ms-excel,1
application/mxf,1
application/nvivo-qdpx-project,1
application/nx,1
application/oxps,1
application/pkcs7-signature,1
application/rat-file,1
application/rcp,1
application/rdata,1
application/rpki-ghostbusters,1
application/scvp-vp-request,1
application/softgrid-7z,1
application/softgrid-inp,1
application/softgrid-rdata,1
application/softgrid-sps,1
application/softgrid-tex,1
application/sparql-query,1
application/tar,1
application/text-plain:formatted,1
application/viplab+json,1
application/vnd.apple.installer+xml,1
application/vnd.arinc,1
application/vnd.chipnuts.karaoke-mmd,1
application/vnd.claymore,1
application/vnd.clustal.aln,1
application/vnd.eln+zip,1
application/vnd.epson.ssf,1
application/vnd.geogebra.file,1
application/vnd.google-apps.presentation,1
application/vnd.hal+xml,1
application/vnd.ibm.rights-management,1
application/vnd.iccprofile,1
application/vnd.mobius.daf,1
application/vnd.ms-pdf,1
application/vnd.ms-publisher,1
application/vnd.ms-word,1
application/vnd.nexus.nex,1
application/vnd.nitf,1
application/vnd.nokia.n-gage.ac+xml,1
application/vnd.ogc.csw_xml,1
application/vnd.oma.drm.content,1
application/vnd.openxmlformats-officedocument.word,1
application/vnd.proteus.magazine,1
application/vnd.recordare.musicxml,1
application/vnd.stardivision.draw,1
application/vnd.stardivision.impress,1
application/vnd.stardivision.math,1
application/vnd.stardivision.writer,1
application/vnd.sun.xml.base,1
application/vnd.sun.xml.writer.template,1
application/wordperfect,1
application/wps-office.docx,1
