name,count
Planning / Cadastre,1471892
Environment,1133961
Structure,976067
Geoscientific Information,653361
Oceans,600851
Imagery / Base Maps / Earth Cover,553248
Inland Waters,408571
Climatology / Meteorology / Atmosphere,197684
Society,174454
Biota,158963
Location,128883
Transportation,119547
Economy,94508
Health,72747
Farming,61500
Boundaries,45555
Elevation,39236
Utilities / Communication,23272
Intelligence / Military,2586
