name,count
,12357638
unspecified,1309385
cc-by,734550
public-domain,701613
dl-de-by-2.0,245045
cc-by-sa,161298
uk-ogl,59019
uk-ncgl,43753
cc-zero,40290
us-pd,31600
ogl-canada-2.0,30691
odc-by,24848
odc-odbl,22498
etalab-2.0,20395
etalab,12884
dl-de-zero-2.0,8767
odc-pddl,6158
cc-by-nc,4955
cc-nc,3307
cc-by-nc-nd,1496
cc-by-nc-sa,1416
cc-by-sa-nc,1021
iodl-2.0,387
cc-by-nd,85
