name,count
Regions and cities,2318375
Environment,1329724
Government and public sector,307308
Population and society,238494
Economy and finance,136949
Transport,123119
Health,81522
"Education, culture and sport",71860
"Agriculture, fisheries, forestry and food",62378
Science and technology,23575
"Justice, legal system and public safety",20244
Energy,16622
International issues,538
