name,count
image/x-tiff,257
application/x-msmetafile,257
application/pgp-signature,247
image/emf,233
application/x-stata-dta,226
application/x-shapefile,222
application/vnd.ms-excel.sheet.binary.macroenabled.12,219
image/x-apple-ios-png,207
text/vnd.ascii-art,192
audio/x-aiff,185
application/x-sas,184
text/plain;charset=US-ASCII,182
text/x-r-markdown,177
application/unknown,176
text/html;charset=UTF-8,173
text/JSON,171
image/vnd.adobe.photoshop,169
application/x-Research-Info-Systems,167
application/x-rar,160
application/x-sas-data,159
application/vnd.realvnc.bed,154
image/x-3ds,154
application/x-yaml,152
application/x-troff-man,150
application/xhtml+xml,150
application/biosequence.fasta,149
text/x-rsrc,146
text/x-sh,145
application/txt,144
chemical/x-cif,142
text/calendar,140
chemical/x-pdb,138
application/msaccess,136
application/vnd.ms-xpsdocument,135
application/vnd.shp+zip,134
application/vnd.groove-tool-template,133
application/Data Viewer,132
video/x-m4v,125
application/pgp-keys,124
dwg/dxf,122
application/x-shellscript,122
audio/mp3,119
application/vnd.api+json,116
message/rfc822,115
application/acad,113
application/java-archive,113
application/vnd.dbf,110
audio/x-m4a,109
application/vnd.wolfram.mathematica.package,104
application/vnd.ms-pki.seccat,104
model/x3d+xml,102
video/x-ms-wmv,101
image/heic,99
text/rdf+xml,94
appliation/zip,94
chemical/x-molconn-Z,94
text/wfs,93
application/vnd.lotus-notes,92
application/x-font-ttf,90
text/troff,89
application/CDFV2,89
image/webp,88
text/x-yaml,87
application/sparql-query,76
application/epub+zip,76
xml/soap,75
text/pdf,75
application/vnd.shp,73
text/x-tex,73
application/x-troff,72
application/x-dbf,70
text/html; charset=iso-8859-1,69
text/prs.lines.tag,69
application/api,66
application/vnd.publishare-delta-tree,66
video/x-matroska,65
application/x-swc,63
application/x-iwork-keynote-sffkey,63
text/vnd.fmi.flexstor,62
application/text,61
application/x-info,61
audio/x-flac,60
application/download,60
application/vnd.pg.format,59
application/xml-dtd,58
application/vnd.ms-word.document.macroenabled.12,57
application/x-graphpad-prism-pzfx,56
application/x-tcl,56
application/vnd.koan,56
application/vnd.enliven,54
application/x-matroska,54
text/vcard,53
application/vnd.ecowin.chart,52
application/dat,52
application/vnd.americandynamics.acc,51
application/pjnz,51
text/x-comma-separated-values,50
application/x-sas-catalog,50
application/x-fasta,48
audio/x-ms-wma,46
video/ogg,46
application/softgrid-do,46
application/x-matlab-figure,45
application/wms,43
application/x-r-data,43
application/csv; charset=utf-8,43
application/vnd.oasis.opendocument.chart,43
application/vnd.ogc.wmc,43
application/x-zipped-shp,41
application/x-esri-shape,41
application/x-emf,41
application/n-triples,40
multipart/x-zip,40
application/x-gameboy-rom,40
application/icms,39
application/p21,39
application/x-json-hypothesis,38
application/sla,37
text/sis,37
application/xcap-diff+xml,36
image/vnd.fst,36
application/x-perl,35
audio/wave,35
application/x-bibtex-text-file,34
application/shapefile,33
application/nappdf,33
application/x-dtbresource+xml,33
application/x-msexcel,33
model/vrml,33
application/blender,32
application/opensearchdescription+xml,32
application/vnd.openxmlformats-officedocument.presentationml.pre,32
application/vnd.oasis.opendocument.presentation,32
application/x-tar-compressed,32
image/x-panasonic-rw,32
application/x-gtar,30
application/vnd.dna,30
application/vnd.epson.ssf,30
