name,count
,7600634
application/json,6887188
text/csv,3159060
text/html,3133601
image/jpeg,2176807
text/HTML,1992490
text/plain,1900019
text/xml,1805184
application/vnd.ogc.wms_xml,1290976
application/PDF,1247587
application/zip,1169892
image/tiff,1132598
text/xml; subtype=gml/3.1.1,1098267
application/pdf,1039878
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1013163
application/vnd.google-earth.kml+xml,865854
application/vnd.ms-excel,716532
application/octet-stream,651892
application/x-netcdf,561505
Image/png,520971
application/zipped-shapefile,376892
image/geotiff,328664
application/vnd.geo+json,280948
text/tab-separated-values,242320
application/vnd.ogc.wfs_xml,239949
text/xml; subtype=gml/2.1.2,227299
text/xml; subtype=gml/3.2,227210
application/xml,224792
image/gif,222505
application/atom+xml,216214
application/vnd.google-earth.kmz,211719
image/svg+xml,207461
image/geotiff8,204790
image/tiff8,204790
application/x-gpkg,183390
application/vnd.ogc.wcs_xml,168366
application/gml+xml; version=3.2,152386
application/vnd.google-earth.kml xml,149048
application/rss+xml,146520
image/png; mode=8bit,146314
application/vnd.openxmlformats-officedocument.wordprocessingml.document,145900
text/html; subtype=openlayers,144241
application/vnd.google-earth.kml+xml;mode=networklink,142251
application/json;type=utfgrid,138521
image/vnd.jpeg-png,138152
image/png,126223
text/html; subtype=openlayers3,120243
text/html; subtype=openlayers2,120243
image/vnd.jpeg-png8,114410
application/rdf+xml,113859
application/gzip,93398
application/vnd.lotus-organizer,82494
application/dicom,77143
application/netcdf,71460
text/x-fixed-field,60936
application/matlab-mat,59393
image/png8,58542
audio/prs.sid,52539
application/msword,51941
text/plain; charset=US-ASCII,49944
application/x-msdos-program,49372
application/vnd.mif,46445
application/x-gzip,43589
chemical/x-xyz,39369
application/vnd.mapbox-vector-tile,38553
application/json;type=topojson,38394
application/json;type=geojson,38228
application/x-stata-syntax,36704
text/pc-axis,34544
audio/midi,33512
application/geo+json,30987
text/php,30919
application/vnd.oasis.opendocument.spreadsheet,30810
application/x-7z-compressed,30684
type/x-r-syntax,29927
application/fits,27841
text/javascript,27710
text/tab,27636
image/vnd.dxf,25288
application/vnd.ogc.wmts_xml,24372
application/x-hdf,21600
application/vnd.ogc.csw.capabilities.response_xml,20059
text/x-matlab,20051
application/geopackage+sqlite3,19301
application/x-filegdb,18061
application/mp4,17811
application/x-tar,17240
video/mp4,17179
application/x-rar-compressed,15201
image/fits,15037
image/x-adobe-dng,13364
application/prj,13303
image/jp2,12759
text/comma-separated-values,12621
application/dbf,12446
image/vnd.dwg,12308
application/x-stata,12304
application/vnd.sdmx.data+csv; charset=utf-8; labels=both,12077
application/x-matlab-data,11739
text/wms,10685
application/unknown,10659
audio/x-wav,10582
application/vnd.sdmx.data+csv; labels=both; charset=utf-8,10307
application/shx,10276
text/tsv,9745
application/shp,9591
image/x-ms-bmp,9570
application/gml+xml,9559
application/x-rlang-transport,9538
application/x-hdf5,9509
application/wsdl+xml,9364
audio/vnd.wave,8967
application/x-qgis,8799
text/x-python,8582
image/bmp,8043
application/x-sql,7880
text/turtle,7349
application/x-tex,6706
text/markdown,6632
audio/wav,6581
audio/mpeg,6478
application/x-zip-compressed,6477
application/x-spss-sav,6156
application/rtf,6093
application/stac+json,5769
application/ld+json,5733
application/x-sqlite3,5537
application/vnd.openxmlformats-officedocument.presentationml.presentation,5423
application/postscript,5349
image/arw,5228
application/x-sas-syntax,5073
application/vnd.ogc.fg+json,5073
image/nii,4943
video/quicktime,4640
application/vnd.ms-pki.stl,4599
application/vnd.palm,4245
video/x-msvideo,3695
application/x-h5,3675
video/mpeg4,3618
application/x-stata-ado,3478
application/vnd.antix.game-component,3426
audio/x-wave,3422
application/x-bzip2,3395
application/vnd.oasis.opendocument.text,3158
application/x-spss-syntax,3100
application/vnd.isac.fcs,3085
text/JSON,2927
text/x-stata-syntax; charset=US-ASCII,2850
application/x-xfig,2802
application/sbx,2728
application/rar,2710
application/html,2636
application/gpx+xml,2610
application/x-xz,2567
text/n3,2519
application/vnd.pc-axis,2474
application/vnd.ms-excel.sheet.macroEnabled.12,2374
application/sbn,2368
image/bil,2321
image/dds,2297
application/vnd.flographit,2255
text/x-log,2244
text/x-c,2185
application/vnd.apache.parquet,2136
text/x-sas-syntax,2127
application/x-beyond2020,2125
audio/ogg,2067
application/flatgeobuf,2028
application/vnd.ms-excel.sheet.macroenabled.12,2005
text/plain; charset=utf-8,1981
application/x-ipynb+json,1975
application/vnd.shana.informed.formtemplate,1967
text/csv+extended,1951
application/x-msdownload,1926
application/x-stata-14,1860
text/xml-graphml,1778
application/xls,1755
image/pjpeg,1693
application/x-iso9660-image,1687
application/x-thermo-isodat,1650
video/avi,1643
text/html; charset=UTF-8,1543
chemical/x-cif,1533
application/x-compressed,1533
application/vnd.ms-powerpoint,1357
text/x-fortran,1317
application/x-shockwave-flash,1310
application/x-msaccess,1289
application/vnd.geospace,1278
text/x-java-source,1273
image/raw,1243
application/vnd.sun.xml.math,1213
application/mac-compactpro,1190
application/x-sh,1186
application/x-bzip,1164
application/x-compressed-tar,1161
chemical/x-cdx,1141
text/x-spss-syntax; charset=US-ASCII,1092
application/marc,1085
application/javascript,1055
text/x-vcard,1049
application/vnd.tcpdump.pcap,1012
application/x-tika-msoffice,1010
application/vnd.lotus-approach,983
text/x-python-script,950
text/x-objcsrc,945
image/x-freehand,903
text/plain;charset=UTF-8,900
model/vnd.vtu,896
application/x-spss-por,893
application/excel,880
application/x-stata-smcl,864
video/h264,856
application/x-sas-system,828
text/rtf,822
application/winhlp,821
chemical/x-mdl-sdfile,816
image/dng,798
application/x-protobuf;type=mapbox-vector,752
image/x-sony-arw,737
text/x-r-notebook,731
text/x-stata-syntax,698
text/css,689
application/csv,683
application/x-stata-dta,679
application/vnd.ogc.ows,668
application/jsonl,665
text/vnd.ascii-art,663
application/x-font-bdf,651
application/x-matlab-workspace,650
application/java-vm,631
image/x-png,629
application/x-rar,620
application/vnd.lotus-1-2-3,603
application/x-tgif,598
application/vnd.ms-excel.sheet.binary.macroenabled.12,592
application/x-stata-13,589
audio/basic,585
text/x-r-source,561
application/x-font-ghostscript,556
