name,count
.json,6696510
.html,2567920
.csv,1629633
.wms,1114496
.txt,740543
.zip,716160
.xml,707747
.kml,661920
.xlsx,581898
.pdf,509845
.jpg,440150
.png,392689
.tif,329296
.shp,319778
.gml,309691
.geojson,307531
.xls,243521
.nc,234153
.atom,216158
.kmz,214491
.geotiff,213018
.gif,210375
.svg,205504
".xml,.xpdl,.xsl",181355
.wfs,167355
.wcs,149493
.rss,146390
.docx,127728
.rdf,109298
.gpkg,70974
.jpeg,52826
.tsv,50813
.sid,39967
.mvt,38553
.topojson,38362
.tiff,36373
.xyz,32791
.js,27708
.tab,26032
.gz,25975
.px,24466
.wmts,23413
.7z,23268
.csw,19907
.text,19182
.mif,16545
.exe,16475
.netcdf,14023
.php,13588
.ods,12019
.org,11943
.dwg,11264
.dxf,10942
.fgdb,10123
.do,10075
.wsdl,9361
.qgs,7231
.prj,7176
.jp2,7087
.r,6870
.arff,5740
.gdb,5547
.sqlite,5351
.rar,5161
.sav,4866
.jsonld,4803
.sas,4368
.mid,3713
.mp4,3674
.md,3154
.doc,3016
.tar,2942
.tt;,2743
.n3,2501
.pptx,2451
.ttl,2336
.bil,2314
.dds,2297
.rtf,2294
.gpx,2249
.dat,2204
.cdf,2186
.dbf,2046
.fgb,2004
.xlsm,1721
.parquet,1663
.sps,1597
.shx,1568
.rdata,1519
.py,1379
.swf,1310
.wav,1232
.cif,1218
.hdf5,1215
.mdb,1163
.odt,1134
.cdx,1129
.ppt,1023
.mat,978
.g3w,963
.xz,816
.htm,796
.m,782
.protobuf,752
.fits,721
.turtle,719
.jsonl,662
.ps,656
.tex,612
.123,601
.avi,600
.ipynb,587
.sbx,579
.sbn,578
.com,561
.mov,550
.stl,526
.bin,520
.bmp,490
.ogg,486
.mrc,445
.mp3,429
.xlsb,422
.au,414
.ivt,409
.fh,407
.sh,360
.iso,346
.pdb,326
.ado,305
.webm,292
.3ds,290
.dgn,289
.itp,279
.c,278
.cpt,275
.cdr,273
.dta,254
.arw,198
.warc,190
.xsl,189
.hdf,185
.wmf,179
.xslt,178
.atx,165
.msi,164
.gph,148
.man,146
.tgz,126
.czml,125
.dcm,120
.asc,117
.wpd,110
.ma,107
".txt,.text",106
.tar.gz,104
.ics,102
.f,102
.yaml,98
.epub,97
.hlp,96
.sql,95
.fig,93
.xltx,87
.xht,87
.css,83
.cat,77
.eml,70
.mag,68
".boz,.bz2",66
.nii,66
.mpg,64
.tcl,57
.dng,57
.pas,54
.crd,53
.rq,52
.wmv,49
.ogv,47
.xhtml,43
.bz,41
.fcs,40
.eps,39
.xps,39
.sig,39
.raw,38
.pl,37
.jar,33
.dtd,31
.ttf,30
.s,28
.aif,28
.ico,27
.m4v,26
.vml,26
.psd,26
.java,25
.pcap,24
.src,23
.graphml,22
.webp,22
.odp,22
.bz2,21
.skp,20
.vcf,20
.docm,20
.res,19
.mkv,18
.str,17
.chm,17
.apr,14
.class,13
.bdf,13
.wma,13
.fst,13
.ai,13
.sit,13
.db,13
.p7b,12
.qt,12
.tpl,11
.stc,10
.emf,10
.nml,10
.qps,9
.gtar,9
.vtu,8
.mesh,7
.acc,7
.apk,7
.for,7
.lbe,7
.ppsx,7
.jfif,7
.hdt,6
.ims,6
.xla,5
.xlm,5
.pub,5
.odc,5
.dna,5
.xlw,5
.asm,5
.csh,4
.dts,4
.tar.xz,4
.geo,4
.skd,4
.flv,4
.gsf,4
.dotx,4
".heif,.heic",4
.afm,4
.es3,3
.drle,3
.m4a,3
.igs,3
.nsf,3
.gv,3
.mpeg,3
.rst,3
.xltm,3
.xlt,3
.ots,3
.flx,3
.wmz,3
.cc,2
.3gp,2
.latex,2
.tra,2
.dll,2
.mb,2
.xlb,2
.mseed,2
.spx,2
.sxm,2
.m3u,2
.bat,2
.abw,2
.yml,2
.aw,1
.daf,1
.inc,1
.otf,1
.pyc,1
.dsc,1
.cpp,1
.markdown,1
.ssf,1
.mht,1
.h264,1
.heic,1
.f90,1
.mts,1
.p7s,1
.vsd,1
.odb,1
.application,1
.mobi,1
.h,1
.dot,1
.p,1
.mbox,1
.ms,1
.ndjson,1
.mpa,1
